,name,zipcode,county,state
0,Burger King,99503,Anchorage Municipality,AK
1,Burger King,99508,Anchorage Municipality,AK
2,Burger King,99518,Anchorage Municipality,AK
3,Burger King,99702,Fairbanks North Star Borough,AK
4,Burger King,99506,Anchorage Municipality,AK
5,Burger King,99505,Anchorage Municipality,AK
6,Burger King,99790,Yukon-Koyukuk Census Area,AK
7,Burger King,99654,Matanuska-Susitna Borough,AK
8,Burger King,35007,Shelby County,AL
9,Burger King,35951,Marshall County,AL
10,Burger King,35010,Tallapoosa County,AL
11,Burger King,36420,Covington County,AL
12,Burger King,36206,Calhoun County,AL
13,Burger King,35016,Marshall County,AL
14,Burger King,35613,Limestone County,AL
15,Burger King,35613,Limestone County,AL
16,Burger King,36562,Baldwin County,AL
17,Burger King,36832,Lee County,AL
18,Burger King,36832,Lee County,AL
19,Burger King,36507,Baldwin County,AL
20,Burger King,35020,Jefferson County,AL
21,Burger King,35020,Jefferson County,AL
22,Burger King,35235,Jefferson County,AL
23,Burger King,35214,Jefferson County,AL
24,Burger King,35217,Jefferson County,AL
25,Burger King,35233,Jefferson County,AL
26,Burger King,35208,Jefferson County,AL
27,Burger King,35233,Jefferson County,AL
28,Burger King,35209,Jefferson County,AL
29,Burger King,35243,Jefferson County,AL
30,Burger King,35235,Jefferson County,AL
31,Burger King,35204,Jefferson County,AL
32,Burger King,35206,Jefferson County,AL
33,Burger King,35206,Jefferson County,AL
34,Burger King,35957,Marshall County,AL
35,Burger King,36426,Escambia County,AL
36,Burger King,35040,Shelby County,AL
37,Burger King,35043,Shelby County,AL
38,Burger King,35014,Talladega County,AL
39,Burger King,36091,Chilton County,AL
40,Burger King,35961,DeKalb County,AL
41,Burger King,35058,Cullman County,AL
42,Burger King,35058,Cullman County,AL
43,Burger King,36527,Baldwin County,AL
44,Burger King,36526,Baldwin County,AL
45,Burger King,35601,Morgan County,AL
46,Burger King,35601,Morgan County,AL
47,Burger King,35603,Morgan County,AL
48,Burger King,36742,Marengo County,AL
49,Burger King,36321,Houston County,AL
50,Burger King,36301,Houston County,AL
51,Burger King,36305,Houston County,AL
52,Burger King,36303,Houston County,AL
53,Burger King,36303,Houston County,AL
54,Burger King,36323,Coffee County,AL
55,Burger King,36330,Coffee County,AL
56,Burger King,36027,Barbour County,AL
57,Burger King,36432,Conecuh County,AL
58,Burger King,35218,Jefferson County,AL
59,Burger King,36532,Baldwin County,AL
60,Burger King,35630,Lauderdale County,AL
61,Burger King,35630,Lauderdale County,AL
62,Burger King,35630,Lauderdale County,AL
63,Burger King,36535,Baldwin County,AL
64,Burger King,35967,DeKalb County,AL
65,Burger King,36322,Dale County,AL
66,Burger King,35068,Jefferson County,AL
67,Burger King,35901,Etowah County,AL
68,Burger King,35117,Jefferson County,AL
69,Burger King,36340,Geneva County,AL
70,Burger King,36032,Lowndes County,AL
71,Burger King,36451,Clarke County,AL
